#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#### Event 1 - Message about the Lady of the Lake ####

Following the light, you continue through the forest. Soon you break the treeline and there, basking in the glow of the light, is Camelot. Though it's walls & battlements have crumbled with time, it still stands proud overlooking the lake.;;;;;;;;;;;;;x

loka_excalibur.option.a.403;Camelot, the seat of King Arthur, it's incredible!;;;;;;;;;;;;;x

loka_excalibur.tooltip.a.403; You set out in search of the Lady from the Priest's vision...;;;;;;;;;;;;;x


#### Event 5 - Searching for the Lady ####

loka_excalibur.description.5;You have been walking the edge of the lake for many hours, sometimes calling out, other times in quiet thought. The Sun has begun to rise, casting long shadows across the open space around you. The light from the battlements, so bright when you arrived has long since faded from sight. A cool morning mist lies gently upon the water and the chatter of the forest fills the air. Your mind begins to wander...;;;;;;;;;;;;;x

loka_excalibur.option.a.5;I must have patience, the Lady will come.;;;;;;;;;;;;;x

loka_excalibur.option.b.5;I cannot wait here any longer, I must return home.;;;;;;;;;;;;;x

loka_excalibur.tooltip.a.5; You continue the search...;;;;;;;;;;;;;x

loka_excalibur.tooltip.b.5;You give up the search for the Lady and return to your court.;;;;;;;;;;;;;x


#### Event 6 - Find the Lady Pt1 ####

loka_excalibur.title.601;The Dancing Mist;;;;;;;;;;;;;x

loka_excalibur.description.601;Your patience is rewarded. As the sun begins to set behind the wooded hills and the birds sing their last song, you feel an eerie calm settle over the lake. The warm breeze gone, replaced by a cold, heavy chill that presses sharply in on you. Your breath becomes an icy haze as it leaves your mouth, your hair stands on end and your heart begins to race.
Despite the stillness of the air, the mist on the lake begins to swirl, colours and shapes dancing within. You find yourself walking towards the water, something is pulling you to it.
The music you heard the night before begins to fill your ears as you inch closer to the glassy water.;;;;;;;;;;;;;x

loka_excalibur.option.a.601;A mesmerising display...;;;;;;;;;;;;;x


#### Event 6 - Find the Lady Pt2 ####

loka_excalibur.title.602;The Lady's Judgement;;;;;;;;;;;;;x

loka_excalibur.description.602;At its crescendo the music stops as suddenly as it started. The mist parting to reveal her, the Lady, exactly as the Priest described. She walks slowly towards you, her footfalls not disturbing the stillness of the water. Her flowing white gown and long, golden hair cling to her form. When she speaks, her voice is firm, but kind.
"You have travelled far and witnessed much [This.GetFirstName], your journey has reached its end. Whether you leave with the reward you desire hinges on my judgement. You will not be able to hide your true self from me. Are you ready to begin?";;;;;;;;;;;;;x

loka_excalibur.option.a.602;I am ready, do what you must...;;;;;;;;;;;;;x


#### Event 16 - The Verdict ####

loka_excalibur.title.16;TITLE;;;;;;;;;;;;;x

loka_excalibur.description.a.16;DESCRIPTION_A;;;;;;;;;;;;;x

loka_excalibur.description.b.16;DESCRIPTION_B;;;;;;;;;;;;;x

loka_excalibur.option.a.16;OPTION_A;;;;;;;;;;;;;x

loka_excalibur.option.b.16;OPTION_B;;;;;;;;;;;;;x


#### Event 17 - Excalibur ####

loka_excalibur.title.17;TITLE;;;;;;;;;;;;;x

loka_excalibur.description.17;DESCRIPTION;;;;;;;;;;;;;x

loka_excalibur.option.a.17;OPTION_A;;;;;;;;;;;;;x


#### Event 18 - Positive Pondering ####

loka_excalibur.description.18;DESCRIPTION;;;;;;;;;;;;;x

loka_excalibur.option.a.18;OPTION_A;;;;;;;;;;;;;x


#### Event 19 - Negative Pondering ####

loka_excalibur.description.019;DESCRIPTION;;;;;;;;;;;;;x

loka_excalibur.option.a.19;OPTION_A;;;;;;;;;;;;;x
